"COUNTY","STATE","POPEST2019","BEDS","HELIPADS","NONPROF","PRIVATE","GOVERNM","LAT","LON","Beds_z","POPEST2019_z","HELIPADS_z","NONPROF_z","PRIVATE_z","GOVERNM_z","Index"
"Autauga County","Alabama",55869,85,0,0,0,1,32.5165255,-86.6319403,-0.211331937932034,-0.145744074128808,-0.574302153434195,-0.436459009712868,-0.245447209414891,0.525022003877604,1
"Baldwin County","Alabama",223234,398,2,2,2,0,30.5677527,-87.7324392,0.0738262444732082,0.356165152849124,0.299104122504934,0.35144918248353,0.512484124227948,-0.51904074054229,2
"Barbour County","Alabama",24686,74,1,0,0,1,31.8589311,-85.4032078,-0.221353471498991,-0.239258461395279,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604,3
"Bibb County","Alabama",22394,35,1,0,0,1,32.971079,-87.1227088,-0.256884363236386,-0.24613191730442,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604,4
"Blount County","Alabama",57826,40,1,1,0,0,33.9510169,-86.5702002,-0.252329120705951,-0.139875246373926,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229,5
"Bullock County","Alabama",10101,61,0,0,1,0,32.09929,-85.7091657,-0.233197102078123,-0.282997272230717,-0.574302153434195,-0.436459009712868,0.133518457406528,-0.51904074054229,6
"Butler County","Alabama",19448,94,1,0,2,0,31.7340713,-86.6754793,-0.203132501377251,-0.254966647281876,-0.13759901546463,-0.436459009712868,0.512484124227948,-0.51904074054229,7
"Calhoun County","Alabama",113605,590,2,0,3,0,33.7514505,-85.8315666,0.248747557641919,0.0273998396452657,0.299104122504934,-0.436459009712868,0.891449791049367,-0.51904074054229,8
"Chambers County","Alabama",33254,115,0,1,0,0,32.8901658,-85.3866953,-0.184000482749423,-0.213563971766342,-0.574302153434195,-0.0425049136146688,-0.245447209414891,-0.51904074054229,9
"Cherokee County","Alabama",26196,60,1,0,1,0,34.1142554,-85.6004514,-0.23410815058421,-0.23473013747608,-0.13759901546463,-0.436459009712868,0.133518457406528,-0.51904074054229,10
"Chilton County","Alabama",44428,26,1,0,1,0,32.8522565,-86.7032845,-0.265083799791169,-0.180054374764273,-0.13759901546463,-0.436459009712868,0.133518457406528,-0.51904074054229,11
"Choctaw County","Alabama",12589,25,1,1,0,0,31.9908095,-88.2821326,-0.265994848297256,-0.275536033879084,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229,12
"Clarke County","Alabama",23622,85,2,0,1,1,31.659134,-87.8192486,-0.211331937932034,-0.242449280368807,0.299104122504934,-0.436459009712868,0.133518457406528,0.525022003877604,13
"Clay County","Alabama",13235,45,1,0,0,1,33.2423393,-85.819651,-0.247773878175516,-0.27359875093087,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604,14
"Cleburne County","Alabama",14910,0,0,0,0,0,33.6506958,-85.5017359,-0.288771060949432,-0.268575610159574,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229,15
"Coffee County","Alabama",52342,131,0,0,1,0,31.3629619,-85.9870669,-0.16942370665203,-0.156321159203651,-0.574302153434195,-0.436459009712868,0.133518457406528,-0.51904074054229,16
"Colbert County","Alabama",55241,363,2,0,0,2,34.6473396,-87.7921769,0.041939546760162,-0.147627377056793,0.299104122504934,-0.436459009712868,-0.245447209414891,1.5690847482975,17
"Conecuh County","Alabama",12067,58,1,0,1,0,31.3966783,-86.9437104,-0.235930247596384,-0.277101454465721,-0.13759901546463,-0.436459009712868,0.133518457406528,-0.51904074054229,18
"Coosa County","Alabama",10663,0,0,0,0,0,32.9181762,-86.2327497,-0.288771060949432,-0.281311896043571,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229,19
"Covington County","Alabama",37049,210,2,1,2,0,31.196549,-86.4597236,-0.0974508746711546,-0.202183184168092,0.299104122504934,-0.0425049136146688,0.512484124227948,-0.51904074054229,20
"Crenshaw County","Alabama",13772,93,2,0,2,0,31.6809362,-86.3244009,-0.204043549883338,-0.271988346994043,0.299104122504934,-0.436459009712868,0.512484124227948,-0.51904074054229,21
"Cullman County","Alabama",83768,185,2,1,1,0,34.1335332,-86.8779268,-0.12022708732333,-0.0620780416640914,0.299104122504934,-0.0425049136146688,0.133518457406528,-0.51904074054229,22
"Dale County","Alabama",49172,89,1,0,1,0,31.3940969,-85.623763,-0.207687743907686,-0.165827640543956,-0.13759901546463,-0.436459009712868,0.133518457406528,-0.51904074054229,23
